time,mag,e_mag,flag,fit,phase
7064.068193,-0.0019000000320374966,0.0009699999936856329,5,-0.0018728407224939255,0.46813450295327996
7064.088626,0.00559999980032444,0.0009699999936856329,5,0.005376741878106223,0.4764367687788571
7064.109058,0.02319999970495701,0.0009699999936856329,5,0.02314763319974805,0.48473862828813097
7064.12949,0.03880000114440918,0.0009699999936856329,5,0.03851293587096095,0.4930404877974013
7064.149922,0.043800000101327896,0.0009699999936856329,5,0.043058983623482795,0.5013423473063057
7064.211219,0.002899999963119626,0.0009699999936856329,5,0.0013602598162846622,0.526248332150427
7064.231651,-0.0006000000284984708,0.0009699999936856329,1,-0.001974908538072335,0.5345501916597009
7064.252083,-0.0008999999845400453,0.0009699999936856329,0,-0.0020341017926436876,0.5428520511689712
7064.272516,-0.0003000000142492354,0.0009699999936856329,0,-0.002093294681332284,0.5511543169945483
7064.31338,-9.999999747378752e-05,0.0009699999936856329,1,-0.0022116648779477227,0.567758036012723
7064.333812,9.999999747378752e-05,0.0009699999936856329,0,-0.002284017150133288,0.5760598955219969
7064.354245,0.00019999999494757503,0.0009699999936856329,0,-0.002356368098263344,0.5843621613479435
7064.374677,0.00019999999494757503,0.0009699999936856329,0,-0.0024287106412092087,0.5926640208568479
7064.395109,0.00019999999494757503,0.0009699999936856329,0,-0.002501048320635733,0.6009658803661182
7064.456406,-0.002300000051036477,0.0009699999936856329,1,-0.002718035723866293,0.6258718652102395
7064.476838,-0.002400000113993883,0.0009699999936856329,0,-0.002746645904871969,0.6341737247191439
7064.49727,-0.002300000051036477,0.0009699999936856329,0,-0.00277525531466435,0.6424755842284142
7064.517703,-0.002199999988079071,0.0009699999936856329,0,-0.0028038653534530828,0.6507778500543644
7064.538135,-0.0015999999595806003,0.0009699999936856329,0,-0.00283247322090091,0.6590797095632652
7064.558567,-0.0017000000225380063,0.0009699999936856329,1,-0.0028610803172587533,0.6673815690725391
7064.578999,-0.0010000000474974513,0.0009699999936856329,0,-0.002781876947822284,0.6756834285818094
7064.599432,-0.00139999995008111,0.0009699999936856329,0,-0.002702663970910817,0.6839856944073865
7064.640296,-0.0007999999797903001,0.0009699999936856329,0,-0.0025442285750524674,0.7005894134255612
7064.660728,-0.0006000000284984708,0.0009699999936856329,0,-0.002465002277860762,0.7088912729348351
7064.701593,-0.003000000026077032,0.0009699999936856329,1,-0.00230652860253065,0.7254953982696861
7064.722025,-0.002099999925121665,0.0009699999936856329,0,-0.002079982300123645,0.7337972577789564
7064.76289,-0.0017000000225380063,0.0009699999936856329,0,-0.001626737150319705,0.7504013831138074
7064.783322,-0.0017999999690800905,0.0009699999936856329,0,-0.0014000493548759945,0.7587032426230778
7064.803754,-0.0010000000474974513,0.0009699999936856329,0,-0.0011733143565255113,0.7670051021319821
7064.824186,-0.0010000000474974513,0.0009699999936856329,1,-0.0009465321355580951,0.7753069616412525
7064.844619,-0.00039999998989515007,0.0009699999936856329,0,-0.0006048553764703007,0.7836092274672026
7064.865051,-9.999999747378752e-05,0.0009699999936856329,0,-0.00026308799475414837,0.7919110869761035
7064.885483,0.0003000000142492354,0.0009699999936856329,0,7.878679634588069e-05,0.8002129464853773
7064.926347,0.0008999999845400453,0.0009699999936856329,0,0.0007628588770943389,0.816816665503552
7064.94678,0.0017999999690800905,0.0009699999936856329,1,0.001105073052898537,0.8251189313294987
7064.967212,0.002099999925121665,0.0009699999936856329,0,0.00149442543475273,0.8334207908383995
7064.987644,0.003100000089034438,0.0009699999936856329,0,0.0018839172566007699,0.8417226503476734
7065.008076,0.0034000000450760126,0.0009699999936856329,0,0.0022735486184210594,0.8500245098569437
7065.028509,0.00419999985024333,0.0009699999936856329,0,0.0026633387002227837,0.8583267756825244
7065.048941,0.0044999998062849045,0.0009699999936856329,1,0.0030532494492476574,0.8666286351917947
7065.089805,0.00570000009611249,0.0009699999936856329,0,0.00372692462863808,0.8832323542099694
7065.110237,0.006000000052154064,0.0009699999936856329,0,0.0040639187290430895,0.8915342137192432
