# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Fri Sep 16 16:34:58 2016
# 
# -------------------------------------------------
# 
# System Parameters (circular orbit):
# 
#   <Inclination>     78.240  (degree)
#   <Mass Ratio>       0.707  (dimensionless)
#   <Lagrange One>     0.536  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> Off
#   <Limb darkening>        quadratic
#   <Detailed reflection>   4
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  7.992e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>   114.821  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    17.103     24.190   (km/sec)
# 
#   <Mass>             0.586      0.414   (dimensionless)
#   <Gravity>         48.031     61.591   (dimensionless)
#   <Polar Radius>     0.144      0.127   (dimensionless)
#   <Point Radius>  0.144528   0.127747   (dimensionless)
#   <Mean Radius>   0.143798   0.126998   (dimensionless)
#   <Volume>        0.012519   0.008623   (dimensionless)
# 
#   <Mass>          2.33e+30   1.65e+30   (kilogramm)
#   <Gravity>          0.336      0.430   (m kg/s^2)
#   <Polar Radius>  2.14e+10   1.89e+10   (meter)
#   <Point Radius>  2.16e+10   1.91e+10   (meter)
#   <Mean Radius>   2.15e+10   1.89e+10   (meter)
#   <Volume>        4.16e+31   2.86e+31   (cubic meter)
# 
#   <Mass>             1.172      0.828   (solar mass)
#   <Polar Radius>    30.795     27.186   (solar radius)
#   <Point Radius>    30.983     27.385   (solar radius)
#   <Mean Radius>     30.826     27.225   (solar radius)
#   <Volume>        123333.848   84948.421   (solar volumes)
# 
#   <Mean Temp.>     11500.0     8220.6   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.373      0.387   (dimensionless)
#   <Temperature>    11500.0     8180.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      1.000   (dimensionless)
#   <Grav. Dark.>      0.250      0.250   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.6612   (dimensionless)
#   <Lagrange 1 Potential>             3.2556   (dimensionless)
#   <Lagrange 2 Potential>             2.8505   (dimensionless)
#   <Surface Potential Secondary>      9.2886   (dimensionless)
#   <... in Primary frame>             6.7135   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        --no eclipse--
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.13698e+15     1.98619e+14
#   Band   1:     8.22923e+14     1.77233e+14
#   Band   2:     5.09475e+14     1.38713e+14
#   Band   3:     3.72719e+14     1.12043e+14
#   Band   4:     1.95504e+14     6.89331e+13
#   Band   5:     4.58873e+13     1.95963e+13
#   Band   6:     1.86622e+13     8.51921e+12
#   Band   7:     6.14594e+12     2.97665e+12
#   Band   8:     1.15846e+15     2.06423e+14
#   Band   9:     8.97294e+14     1.82442e+14
#   Band  10:     7.05203e+14     1.66194e+14
#   Band  11:      5.0042e+14     1.37822e+14
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.33575e+15            0.75
#   Band   1:     1.00024e+15            0.75
#   Band   2:     6.48225e+14            0.75
#   Band   3:     4.84784e+14            0.75
#   Band   4:     2.64445e+14            0.75
#   Band   5:     6.54849e+13            0.75
#   Band   6:     2.71818e+13            0.75
#   Band   7:      9.1227e+12            0.75
#   Band   8:     1.36504e+15            0.75
#   Band   9:     1.07984e+15            0.75
#   Band  10:     8.71461e+14            0.75
#   Band  11:     6.38278e+14            0.75
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2500 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000       -17.1       24.15
     1 -0.2490 -0.000027 -0.000029 -0.000030 -0.000029 -0.000028 -0.000024 -0.000023 -0.000021 -0.000028 -0.000028 -0.000030 -0.000030       -17.1       24.15
     2 -0.2480 -0.000050 -0.000054 -0.000055 -0.000053 -0.000050 -0.000043 -0.000039 -0.000035 -0.000052 -0.000054 -0.000055 -0.000056       -17.1       24.15
     3 -0.2470 -0.000075 -0.000080 -0.000081 -0.000078 -0.000075 -0.000063 -0.000057 -0.000051 -0.000077 -0.000080 -0.000082 -0.000083       -17.1       24.14
     4 -0.2460 -0.000101 -0.000108 -0.000111 -0.000107 -0.000103 -0.000087 -0.000080 -0.000072 -0.000105 -0.000108 -0.000112 -0.000112      -17.09       24.14
     5 -0.2450 -0.000127 -0.000135 -0.000139 -0.000135 -0.000129 -0.000111 -0.000101 -0.000092 -0.000132 -0.000135 -0.000140 -0.000141      -17.09       24.14
     6 -0.2440 -0.000151 -0.000161 -0.000166 -0.000161 -0.000154 -0.000132 -0.000120 -0.000109 -0.000157 -0.000160 -0.000166 -0.000168      -17.09       24.13
     7 -0.2430 -0.000181 -0.000191 -0.000198 -0.000194 -0.000187 -0.000162 -0.000149 -0.000137 -0.000188 -0.000190 -0.000198 -0.000201      -17.08       24.12
     8 -0.2420 -0.000209 -0.000220 -0.000229 -0.000224 -0.000217 -0.000189 -0.000175 -0.000161 -0.000217 -0.000219 -0.000228 -0.000231      -17.08       24.12
     9 -0.2410 -0.000236 -0.000249 -0.000260 -0.000255 -0.000247 -0.000216 -0.000200 -0.000185 -0.000246 -0.000247 -0.000258 -0.000262      -17.07       24.11
    10 -0.2400 -0.000260 -0.000274 -0.000286 -0.000280 -0.000272 -0.000237 -0.000220 -0.000203 -0.000271 -0.000272 -0.000284 -0.000289      -17.07        24.1
    11 -0.2390 -0.000279 -0.000296 -0.000308 -0.000301 -0.000292 -0.000253 -0.000233 -0.000214 -0.000291 -0.000294 -0.000307 -0.000312      -17.06       24.09
    12 -0.2380 -0.000310 -0.000328 -0.000343 -0.000336 -0.000327 -0.000286 -0.000265 -0.000245 -0.000324 -0.000325 -0.000340 -0.000346      -17.05       24.08
    13 -0.2370 -0.000338 -0.000356 -0.000374 -0.000368 -0.000358 -0.000314 -0.000292 -0.000271 -0.000353 -0.000353 -0.000369 -0.000377      -17.04       24.06
    14 -0.2360 -0.000359 -0.000380 -0.000398 -0.000391 -0.000381 -0.000333 -0.000309 -0.000286 -0.000375 -0.000376 -0.000394 -0.000402      -17.03       24.05
    15 -0.2350 -0.000378 -0.000401 -0.000420 -0.000412 -0.000400 -0.000349 -0.000323 -0.000298 -0.000395 -0.000397 -0.000416 -0.000424      -17.02       24.04
    16 -0.2340 -0.000402 -0.000426 -0.000447 -0.000439 -0.000426 -0.000372 -0.000344 -0.000317 -0.000420 -0.000422 -0.000442 -0.000451      -17.01       24.02
    17 -0.2330 -0.000426 -0.000451 -0.000474 -0.000466 -0.000454 -0.000396 -0.000367 -0.000339 -0.000445 -0.000447 -0.000469 -0.000479         -17       24.01
    18 -0.2320 -0.000448 -0.000475 -0.000499 -0.000491 -0.000478 -0.000417 -0.000386 -0.000356 -0.000468 -0.000470 -0.000494 -0.000505      -16.99       23.99
    19 -0.2310 -0.000466 -0.000495 -0.000521 -0.000511 -0.000497 -0.000432 -0.000399 -0.000368 -0.000487 -0.000490 -0.000515 -0.000526      -16.98       23.97
    20 -0.2300 -0.000487 -0.000518 -0.000545 -0.000535 -0.000520 -0.000452 -0.000417 -0.000384 -0.000509 -0.000513 -0.000539 -0.000551      -16.96       23.95
    21 -0.2290 -0.000515 -0.000546 -0.000576 -0.000567 -0.000553 -0.000483 -0.000447 -0.000413 -0.000538 -0.000541 -0.000568 -0.000582      -16.95       23.93
    22 -0.2280 -0.000530 -0.000565 -0.000595 -0.000585 -0.000570 -0.000495 -0.000457 -0.000421 -0.000555 -0.000559 -0.000588 -0.000602      -16.94       23.91
    23 -0.2270 -0.000542 -0.000579 -0.000610 -0.000598 -0.000580 -0.000501 -0.000460 -0.000422 -0.000566 -0.000573 -0.000603 -0.000617      -16.92       23.89
